Parameter,Value,Description,Calibration Basis
alpha,0.33,Capital income share,National accounts (~1/3)
delta,0.1,Capital depreciation (annual),"Standard, ~10%/year"
sigma,1.5,Inverse IES,"Standard range [1, 2]"
phi,2.0,Inverse Frisch elasticity,"Standard range [1, 3]"
epsilon,6.0,Elasticity of substitution,Mark-up ~20%
kappa_h,1.0,Labor disutility weight,Hss = 1/3 calibration
gamma1,0.55,Emission intensity coeff.,"Vietnam E/Y ratio, EDGAR"
gamma2,0.0,Emission output elasticity,Linear emission-output
theta1,0.0741,Abatement cost level,DICE-2016R backstop
theta2,2.6,Abatement cost curvature,DICE-2016R
phi_pi,1.5,Taylor rule: inflation (initial),Taylor principle
phi_y,0.2,Taylor rule: output (initial),Standard NK
rho_R,0.7,Monetary policy inertia (initial),Smoothing convention
tau_ss,25.0,Steady-state carbon price ($/tCO2),SCC-based anchor
